S_No,Zone_Name,Road_Name,Road_Category,Zone_Type,Simple_Accidents,Fatal_Accidents,Total_Accidents,Fatality_Rate,Severity_Level,Is_Pedestrian_Zone,Is_Two_Wheeler_Zone,Is_Cyclist_Zone,Is_HTV_Zone,Is_Hit_And_Run_Zone,Is_Daytime_Zone,Is_Nighttime_Zone
80,DEEPALI CHOWK,OUTER RING ROAD,OUTER RING ROAD,T-INTERSECTION,5,3,8,0.375,MEDIUM,0,1,0,0,1,0,0
81,RML HOSPITAL,BKS MARG,OTHER,HOSPITAL,5,3,8,0.375,MEDIUM,0,0,0,0,0,1,0
82,MONESTRY RING ROAD,RING ROAD,RING ROAD,ROAD STRETCH,5,3,8,0.375,MEDIUM,0,0,0,0,0,0,0
83,UDYOG NAGAR,ROHTAK ROAD,ROHTAK ROAD,HIGHWAY VILLAGE,4,3,7,0.429,MEDIUM,0,0,0,0,0,0,0
84,AGRA CANAL ROAD JAITPUR,AGRA CANAL ROAD,OTHER,ROAD STRETCH,4,3,7,0.429,MEDIUM,0,0,0,0,0,0,0
85,CHINTAMANI RED LIGHT SEEMAPURI,G.T.ROAD,GT ROAD,INTERSECTION,4,3,7,0.429,MEDIUM,0,0,0,0,0,0,0
86,SUBHASH NAGAR METRO STATION,NAJAFGARH ROAD,NAJAFGARH ROAD,METRO STATION,4,3,7,0.429,MEDIUM,0,0,0,0,0,0,0
87,LOHIA PULL,AGRA CANAL ROAD,OTHER,ROAD STRETCH,4,3,7,0.429,MEDIUM,0,0,0,0,0,0,0
88,TELCO GAJIPUR,ROAD NO.56,OTHER,ROAD STRETCH,3,3,6,0.5,MEDIUM,0,0,0,0,0,0,0
89,KHAMPUR VILLAGE,GTK ROAD,GTK ROAD,HIGHWAY VILLAGE,3,3,6,0.5,MEDIUM,0,0,0,0,0,0,0
90,DND FLYOVER,RING ROAD,RING ROAD,FLYOVER,2,3,5,0.6,MEDIUM,0,0,0,0,0,0,0
91,SAI BABA MANDIR NH-1,GTK ROAD,GTK ROAD,HIGHWAY VILLAGE,2,3,5,0.6,MEDIUM,0,0,0,0,0,0,0
92,FILMISTAN,RANI JHANSI ROAD,OTHER,INTERSECTION,2,3,5,0.6,MEDIUM,1,0,0,0,0,0,0
93,KHAJOORI CHOWK,WAZIRABAD ROAD,WAZIRABAD ROAD,T-INTERSECTION,14,2,16,0.125,MEDIUM,1,0,0,0,1,0,0
94,SHYAMGIRI MANDIR SHASTRI PARK,G.T.ROAD,GT ROAD,ROAD STRETCH,12,2,14,0.143,MEDIUM,0,0,0,0,1,0,0
95,SANJAY T-POINT,NH-8,NATIONAL HIGHWAY,T-INTERSECTION,11,2,13,0.154,MEDIUM,0,0,0,1,1,0,0
96,AIIMS,RING ROAD,RING ROAD,HOSPITAL,11,2,13,0.154,MEDIUM,0,0,0,0,1,0,0
97,C BLOCK YAMUNA VIHAR,WAZIRABAD ROAD,WAZIRABAD ROAD,T-INTERSECTION,10,2,12,0.167,MEDIUM,0,0,0,0,0,0,0
98,GANDHI VIHAR BUS STAND,OUTER RING ROAD,OUTER RING ROAD,BUS-STAND,10,2,12,0.167,MEDIUM,0,0,0,0,0,0,0
99,KALINDI KUNJ,ROAD NO 134,OTHER,INTERSECTION,9,2,11,0.182,MEDIUM,0,0,0,1,0,0,0
100,DELHI GATE,N. SUBHASH MARG,OTHER,INTERSECTION,9,2,11,0.182,MEDIUM,0,0,0,0,0,0,0
